STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,K,Financial and insurance activities,T,Total,IT,Italy,2020,,861,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,K,Financial and insurance activities,T,Total,IT,Italy,2021,,779,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,K,Financial and insurance activities,T,Total,IT,Italy,2022,,728,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,K,Financial and insurance activities,T,Total,IT,Italy,2023,,748,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,L,Real estate activities,T,Total,IT,Italy,2014,,2207,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,L,Real estate activities,T,Total,IT,Italy,2015,,1987,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,L,Real estate activities,T,Total,IT,Italy,2016,,1867,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,L,Real estate activities,T,Total,IT,Italy,2017,,1843,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,L,Real estate activities,T,Total,IT,Italy,2018,,1833,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,L,Real estate activities,T,Total,IT,Italy,2019,,1643,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,L,Real estate activities,T,Total,IT,Italy,2020,,1372,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,L,Real estate activities,T,Total,IT,Italy,2021,,934,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,L,Real estate activities,T,Total,IT,Italy,2022,,601,,,,,
