wri_tot_id,structure,severity_id,time_frequency,unit_description,activity_id,sex_id,country_id,time_period,obs_value,observation_status,employment_h,casualties_x1k,m_employment_h,f_employment_h,m_casualties,f_casualties,m_casualties_x1km,f_casualties_x1kf
142,dataflow,D_GE4,Annual,Number,H,F,FR,2016,11271,,1459.6,7.72,0,1459.6,0,11271,0,7.72
143,dataflow,D_GE4,Annual,Number,H,F,FR,2017,11257,break in time series,1448.1,7.77,0,1448.1,0,11257,0,7.77
144,dataflow,D_GE4,Annual,Number,H,F,FR,2018,16517,,1421.1,11.62,0,1421.1,0,16517,0,11.62
145,dataflow,D_GE4,Annual,Number,H,F,FR,2019,17015,,1412.3,12.05,0,1412.3,0,17015,0,12.05
146,dataflow,D_GE4,Annual,Number,H,F,FR,2020,13895,break in time series,1385,10.03,0,1385,0,13895,0,10.03
147,dataflow,D_GE4,Annual,Number,H,F,FR,2021,10481,,1411.6,7.42,0,1411.6,0,10481,0,7.42
148,dataflow,D_GE4,Annual,Number,H,F,FR,2022,10420,break in time series,1443.9,7.22,0,1443.9,0,10420,0,7.22
149,dataflow,D_GE4,Annual,Number,H,F,FR,2023,10540,,1445.7,7.29,0,1445.7,0,10540,0,7.29
150,dataflow,D_GE4,Annual,Number,H,F,HU,2014,648,,258.7,2.5,0,258.7,0,648,0,2.5
151,dataflow,D_GE4,Annual,Number,H,F,HU,2015,626,,266.8,2.35,0,266.8,0,626,0,2.35
152,dataflow,D_GE4,Annual,Number,H,F,HU,2016,836,,276.2,3.03,0,276.2,0,836,0,3.03
153,dataflow,D_GE4,Annual,Number,H,F,HU,2017,862,,294,2.93,0,294,0,862,0,2.93
154,dataflow,D_GE4,Annual,Number,H,F,HU,2018,822,,289.8,2.84,0,289.8,0,822,0,2.84
155,dataflow,D_GE4,Annual,Number,H,F,HU,2019,845,,301.9,2.8,0,301.9,0,845,0,2.8
156,dataflow,D_GE4,Annual,Number,H,F,HU,2020,967,break in time series,276.9,3.49,0,276.9,0,967,0,3.49
157,dataflow,D_GE4,Annual,Number,H,F,HU,2021,811,,284.7,2.85,0,284.7,0,811,0,2.85
158,dataflow,D_GE4,Annual,Number,H,F,HU,2022,946,,288.2,3.28,0,288.2,0,946,0,3.28
159,dataflow,D_GE4,Annual,Number,H,F,HU,2023,962,,293.8,3.27,0,293.8,0,962,0,3.27
160,dataflow,D_GE4,Annual,Number,H,F,IT,2014,5222,,1039.1,5.03,0,1039.1,0,5222,0,5.03
161,dataflow,D_GE4,Annual,Number,H,F,IT,2015,4823,,1033,4.67,0,1033,0,4823,0,4.67
162,dataflow,D_GE4,Annual,Number,H,F,IT,2016,4961,,1084.9,4.57,0,1084.9,0,4961,0,4.57
163,dataflow,D_GE4,Annual,Number,H,F,IT,2017,4891,,1109.5,4.41,0,1109.5,0,4891,0,4.41
164,dataflow,D_GE4,Annual,Number,H,F,IT,2018,4555,,1117.7,4.08,0,1117.7,0,4555,0,4.08
165,dataflow,D_GE4,Annual,Number,H,F,IT,2019,4610,,1131.8,4.07,0,1131.8,0,4610,0,4.07
166,dataflow,D_GE4,Annual,Number,H,F,IT,2020,3360,break in time series,1114.2,3.02,0,1114.2,0,3360,0,3.02
167,dataflow,D_GE4,Annual,Number,H,F,IT,2021,4648,,1141.3,4.07,0,1141.3,0,4648,0,4.07
168,dataflow,D_GE4,Annual,Number,H,F,IT,2022,5601,,1167.3,4.8,0,1167.3,0,5601,0,4.8
169,dataflow,D_GE4,Annual,Number,H,F,IT,2023,4375,,1180,3.71,0,1180,0,4375,0,3.71
170,dataflow,D_GE4,Annual,Number,H,F,NL,2014,2746,break in time series,357.7,7.68,0,357.7,0,2746,0,7.68
171,dataflow,D_GE4,Annual,Number,H,F,NL,2015,2539,,356.1,7.13,0,356.1,0,2539,0,7.13
172,dataflow,D_GE4,Annual,Number,H,F,NL,2016,1370,,374.2,3.66,0,374.2,0,1370,0,3.66
173,dataflow,D_GE4,Annual,Number,H,F,NL,2017,1858,,384,4.84,0,384,0,1858,0,4.84
